epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,67.7625,0.28101,0.55737,0.80661,0.99263,0.95,0.94532,0.89388,0.33174,0.44488,0.78089,0.0011684,0.0011684,0.0011684
44,69.2069,0.30376,0.54183,0.79197,0.99686,0.95,0.94532,0.91088,0.31548,0.41194,0.77912,0.0011486,0.0011486,0.0011486
45,70.5751,0.27146,0.52052,0.78885,0.99644,0.95,0.94554,0.90593,0.3101,0.38815,0.78297,0.0011288,0.0011288,0.0011288
46,71.9504,0.30193,0.56597,0.77659,0.97931,0.95,0.94559,0.91111,0.30568,0.44692,0.78083,0.001109,0.001109,0.001109
47,73.3217,0.29983,0.54133,0.77694,0.90965,0.9,0.94179,0.91287,0.29764,0.64598,0.7791,0.0010892,0.0010892,0.0010892
48,74.6771,0.27969,0.51991,0.79914,0.98643,0.95,0.9467,0.92296,0.25384,0.54034,0.7714,0.0010694,0.0010694,0.0010694
49,76.0536,0.24368,0.4634,0.76525,0.98132,0.95,0.95782,0.91059,0.26891,0.53857,0.77282,0.0010496,0.0010496,0.0010496
50,77.4675,0.24394,0.51155,0.80445,0.93874,0.95,0.94623,0.92802,0.28838,0.55233,0.77419,0.0010298,0.0010298,0.0010298
51,79.0745,0.28057,0.4937,0.78121,0.97839,0.95,0.94615,0.91995,0.30745,0.55777,0.77415,0.00101,0.00101,0.00101
52,81.067,0.3128,0.57686,0.80528,0.92449,0.95,0.94133,0.9406,0.26738,0.52788,0.76881,0.0009902,0.0009902,0.0009902
53,83.089,0.26663,0.50057,0.77759,0.99057,0.95,0.94664,0.93344,0.25967,0.44716,0.7677,0.0009704,0.0009704,0.0009704
54,84.5634,0.27353,0.46226,0.80828,0.99691,0.95,0.94709,0.93795,0.25866,0.3946,0.7675,0.0009506,0.0009506,0.0009506
55,85.9331,0.26425,0.48721,0.80126,0.99781,0.95,0.94523,0.92779,0.27833,0.36846,0.77271,0.0009308,0.0009308,0.0009308
56,87.5675,0.26827,0.48773,0.78629,1,0.94644,0.94514,0.89386,0.26604,0.37209,0.77393,0.000911,0.000911,0.000911
57,88.8688,0.26289,0.44564,0.80592,0.94793,0.95,0.94264,0.9094,0.25663,0.40535,0.77414,0.0008912,0.0008912,0.0008912
58,90.1945,0.2701,0.46892,0.793,0.94547,0.95,0.94263,0.91742,0.26093,0.42589,0.77317,0.0008714,0.0008714,0.0008714
59,91.6078,0.23284,0.4381,0.79877,0.99977,0.95,0.94512,0.91909,0.25568,0.39178,0.77129,0.0008516,0.0008516,0.0008516
60,93.0229,0.25846,0.48503,0.82231,0.99511,0.95,0.9451,0.93041,0.24624,0.35467,0.77171,0.0008318,0.0008318,0.0008318
61,95.0623,0.25029,0.54482,0.8023,1,0.93222,0.94512,0.93291,0.23977,0.37494,0.76885,0.000812,0.000812,0.000812
62,97.1384,0.24667,0.43936,0.77029,0.94458,0.95,0.94292,0.92308,0.24168,0.38133,0.76809,0.0007922,0.0007922,0.0007922
63,99.026,0.26167,0.45652,0.7876,0.94548,0.95,0.94265,0.91925,0.24375,0.38431,0.7689,0.0007724,0.0007724,0.0007724
64,100.412,0.23867,0.44567,0.77611,0.94687,0.95,0.94266,0.90096,0.27246,0.35911,0.77398,0.0007526,0.0007526,0.0007526
65,101.741,0.24494,0.43677,0.77581,0.94747,0.95,0.94266,0.90484,0.26203,0.34102,0.77219,0.0007328,0.0007328,0.0007328
66,103.048,0.23527,0.43138,0.8018,0.9475,0.95,0.94266,0.93266,0.24761,0.34289,0.77218,0.000713,0.000713,0.000713
67,104.42,0.23338,0.37839,0.76987,0.94729,0.95,0.9428,0.92451,0.24885,0.33127,0.77413,0.0006932,0.0006932,0.0006932
68,105.765,0.22555,0.40738,0.80844,1,0.94125,0.9453,0.92934,0.23306,0.30189,0.77023,0.0006734,0.0006734,0.0006734
69,107.057,0.23552,0.39985,0.78461,0.99485,0.95,0.94529,0.93353,0.2139,0.28678,0.7683,0.0006536,0.0006536,0.0006536
70,108.491,0.21507,0.35504,0.76582,0.99421,0.95,0.94517,0.93352,0.24338,0.29363,0.76794,0.0006338,0.0006338,0.0006338
